day,time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
127,10972800,,0.01,0.01,,,,0.007,0.006,,,,0.225,0.923,,0.23,0.056,0.001,,,,,,,,,0.335,,0.539,0.388,,,0.004,,0.321,0.047,,,,0.13,0.038,0.091,,,,0.018,0.039,0.01,0.01,,,,0.022,,0.004,0.003,,,,,0.09,0.167,,,,,0.35,0.332,0.182,,,,0.005,0.034,0.032,,0.277,,,,,,0.004,,,,,0.176,0.019,0.335,0.376,0.002,0.004,0.321,0.085,0.585,0.002,0.071,0.071,,,0.017,,,0.003,0.133,0.017,,0.069,0.151,,,,,,,,0.402,,0.005,0.361,,,0.018,,0.005,0.004,0.006,0.027,0.005,0.029,0.187,0.052,0.332,0.065,0.045,0.013,0.014,,,,,,,,,,0.054,0.2,0.005,0.001,0.291,0.002,,,,0.004,0.002,0.005,,,0.151,0.112,,0.025,0.346,0.413,,,0.002,0.001,0.037,0.003,,,0.006,,,,,0.013,,,,0.074,,,,0.015,0.031,0.027,0.02,,,,0.172,0.029,,0.006,0.006,0.001
127,10972860,,0.01,0.011,,,,0.003,0.003,,,,0.213,0.934,,0.248,0.204,0.001,,,,,,,,,0.408,,0.263,0.4,,,0.005,,0.314,0.045,,,,0.013,0.038,0.077,,,,0.018,0.008,0.009,0.008,,,,0.022,,0.004,0.003,,,,,0.079,0.053,,,,,0.396,0.361,0.193,,,,0.006,0.023,0.02,,0.279,,,,,,0.005,,,,,0.168,0.021,0.308,0.403,0.002,0.005,0.342,0.078,0.501,0.001,0.082,0.061,,,0.013,,,0.004,0.152,0.076,,0.021,0.119,,,,,,,,0.497,,0.005,0.185,,,0.016,,0.005,0.005,0.006,0.019,0.004,0.005,0.18,0.051,0.333,0.073,0.039,0.01,0.01,,,,,,,,,,0.03,0.233,0.002,0.001,0.293,0.001,,,,0.002,0.001,0.005,,,0.125,0.121,,0.021,0.368,0.438,,,0.002,0.001,0.035,0.003,,,0.006,,,,,0.018,,,,0.048,,,,0.051,0.034,0.046,0.022,,,,0.176,0.03,,0.005,0.007,0.001
127,10972920,,0.012,0.012,,,,0.005,0.006,,,,0.368,0.889,,0.435,0.1,0.001,,,,,,,,,0.266,,0.258,0.377,,,0.004,,0.305,0.033,,,,0.007,0.041,0.09,,,,0.016,0.011,0.011,0.01,,,,0.006,,0.005,0.003,,,,,0.091,0.035,,,,,0.368,0.369,0.173,,,,0.006,0.021,0.02,,0.276,,,,,,0.006,,,,,0.226,0.019,0.267,0.363,0.002,0.005,0.429,0.083,0.428,0.001,0.068,0.077,,,0.015,,,0.003,0.176,0.093,,0.042,0.088,,,,,,,,0.388,,0.004,0.105,,,0.031,,0.005,0.004,0.009,0.019,0.005,0.009,0.228,0.059,0.315,0.054,0.032,0.012,0.012,,,,,,,,,,0.006,0.107,0.001,0.001,0.3,0.001,,,,0.002,0.001,0.004,,,0.12,0.099,,0.024,0.349,0.436,,,0.001,0.001,0.036,0.003,,,0.006,,,,,0.016,,,,0.008,,,,0.067,0.049,0.028,0.019,,,,0.163,0.037,,0.004,0.004,0.001
127,10972980,,0.01,0.017,,,,0.004,0.007,,,,0.207,0.999,,0.324,0.049,0.001,,,,,,,,,0.381,,0.261,0.385,,,0.004,,0.312,0.032,,,,0.002,0.036,0.124,,,,0.014,0.006,0.011,0.011,,,,0.006,,0.005,0.004,,,,,0.074,0.036,,,,,0.382,0.36,0.157,,,,0.005,0.021,0.02,,0.246,,,,,,0.007,,,,,0.176,0.023,0.317,0.333,0.002,0.007,0.403,0.075,0.578,0.001,0.067,0.061,,,0.012,,,0.004,0.144,0.038,,0.004,0.045,,,,,,,,0.394,,0.005,0.173,,,0.005,,0.004,0.005,0.009,0.016,0.004,0.007,0.169,0.05,0.284,0.062,0.038,0.011,0.017,,,,,,,,,,0.004,0.077,0.001,0.001,0.285,0.001,,,,0.002,0.001,0.003,,,0.12,0.108,,0.018,0.333,0.407,,,0.001,0.001,0.039,0.004,,,0.006,,,,,0.011,,,,0.013,,,,0.029,0.031,0.03,0.02,,,,0.169,0.051,,0.005,0.004,0.002
127,10973040,,0.011,0.009,,,,0.004,0.006,,,,0.224,0.936,,0.298,0.044,0.001,,,,,,,,,0.315,,0.342,0.402,,,0.005,,0.291,0.034,,,,0.002,0.034,0.09,,,,0.016,0.013,0.011,0.008,,,,0.008,,0.005,0.003,,,,,0.073,0.034,,,,,0.352,0.344,0.211,,,,0.005,0.021,0.018,,0.259,,,,,,0.004,,,,,0.174,0.02,0.254,0.442,0.003,0.004,0.35,0.084,0.456,0.002,0.095,0.062,,,0.008,,,0.003,0.103,0.001,,0.051,0.031,,,,,,,,0.435,,0.005,0.118,,,0.03,,0.004,0.006,0.007,0.018,0.005,0.007,0.144,0.052,0.29,0.053,0.038,0.009,0.01,,,,,,,,,,0.003,0.072,0.001,0.001,0.289,0.001,,,,0.001,0.001,0.003,,,0.12,0.115,,0.026,0.342,0.421,,,0.001,0.001,0.034,0.005,,,0.006,,,,,0.012,,,,0.011,,,,0.033,0.035,0.04,0.017,,,,0.165,0.038,,0.006,0.004,0.001
127,10973100,,0.011,0.011,,,,0.005,0.004,,,,0.249,0.986,,0.322,0.029,0.001,,,,,,,,,0.213,,0.366,0.383,,,0.004,,0.301,0.034,,,,0.002,0.036,0.081,,,,0.015,0.007,0.011,0.013,,,,0.014,,0.005,0.003,,,,,0.113,0.044,,,,,0.367,0.345,0.207,,,,0.005,0.02,0.02,,0.247,,,,,,0.006,,,,,0.187,0.017,0.218,0.36,0.002,0.005,0.331,0.072,0.414,0.001,0.062,0.064,,,0.011,,,0.004,0.089,0.01,,0.065,0.098,,,,,,,,0.424,,0.004,0.202,,,0.018,,0.003,0.005,0.006,0.02,0.004,0.006,0.174,0.047,0.313,0.058,0.031,0.011,0.01,,,,,,,,,,0.004,0.141,0.002,0.001,0.285,0.001,,,,0.001,0.001,0.004,,,0.125,0.11,,0.022,0.338,0.395,,,0.002,0.001,0.036,0.003,,,0.006,,,,,0.012,,,,0.007,,,,0.029,0.032,0.022,0.017,,,,0.188,0.02,,0.008,0.005,0.002
127,10973160,,0.011,0.014,,,,0.005,0.007,,,,0.235,0.999,,0.331,0.033,0.001,,,,,,,,,0.417,,0.394,0.381,,,0.004,,0.324,0.039,,,,0.002,0.042,0.095,,,,0.016,0.012,0.011,0.01,,,,0.007,,0.005,0.003,,,,,0.09,0.032,,,,,0.388,0.365,0.142,,,,0.005,0.022,0.02,,0.281,,,,,,0.006,,,,,0.191,0.023,0.306,0.359,0.003,0.006,0.433,0.079,0.583,0.002,0.074,0.071,,,0.013,,,0.005,0.06,0.004,,0.024,0.085,,,,,,,,0.444,,0.005,0.434,,,0.023,,0.003,0.007,0.007,0.024,0.004,0.006,0.194,0.052,0.299,0.068,0.031,0.01,0.01,,,,,,,,,,0.003,0.134,0.001,0.001,0.299,0.001,,,,0.001,0.001,0.005,,,0.128,0.124,,0.02,0.34,0.44,,,0.002,0.001,0.033,0.003,,,0.006,,,,,0.014,,,,0.013,,,,0.014,0.026,0.043,0.035,,,,0.202,0.032,,0.005,0.004,0.002
127,10973220,,0.011,0.013,,,,0.006,0.005,,,,0.215,0.958,,0.298,0.044,0.001,,,,,,,,,0.288,,0.384,0.381,,,0.004,,0.314,0.034,,,,0.002,0.039,0.074,,,,0.015,0.008,0.008,0.009,,,,0.005,,0.005,0.003,,,,,0.085,0.034,,,,,0.36,0.386,0.23,,,,0.005,0.02,0.018,,0.254,,,,,,0.004,,,,,0.174,0.02,0.309,0.333,0.002,0.005,0.371,0.075,0.39,0.002,0.062,0.063,,,0.009,,,0.004,0.08,0.04,,0.007,0.061,,,,,,,,0.44,,0.004,0.498,,,0.022,,0.005,0.005,0.008,0.014,0.004,0.006,0.167,0.057,0.288,0.064,0.03,0.01,0.01,,,,,,,,,,0.004,0.126,0.001,0.001,0.294,0.001,,,,0.001,0.001,0.005,,,0.127,0.097,,0.024,0.334,0.402,,,0.002,0.001,0.041,0.004,,,0.006,,,,,0.011,,,,0.008,,,,0.021,0.05,0.028,0.014,,,,0.173,0.032,,0.075,0.005,0.001
127,10973280,,0.011,0.011,,,,0.004,0.005,,,,0.217,0.976,,0.345,0.117,0.001,,,,,,,,,0.376,,0.418,0.405,,,0.004,,0.296,0.041,,,,0.003,0.038,0.097,,,,0.015,0.009,0.01,0.008,,,,0.006,,0.005,0.003,,,,,0.095,0.032,,,,,0.367,0.381,0.17,,,,0.005,0.02,0.019,,0.27,,,,,,0.006,,,,,0.168,0.019,0.26,0.341,0.001,0.005,0.296,0.077,0.62,0.002,0.088,0.07,,,0.011,,,0.004,0.036,0.003,,0.005,0.072,,,,,,,,0.373,,0.004,0.19,,,0.02,,0.004,0.004,0.006,0.021,0.004,0.006,0.18,0.047,0.266,0.054,0.029,0.01,0.01,,,,,,,,,,0.016,0.123,0.001,0.001,0.277,0.001,,,,0.001,0.001,0.003,,,0.107,0.107,,0.02,0.361,0.402,,,0.001,0.001,0.035,0.003,,,0.005,,,,,0.015,,,,0.014,,,,0.018,0.027,0.028,0.022,,,,0.176,0.069,,0.004,0.003,0.001
127,10973340,,0.01,0.013,,,,0.011,0.006,,,,0.295,0.999,,0.241,0.174,0.001,,,,,,,,,0.499,,0.44,0.462,,,0.005,,0.34,0.044,,,,0.002,0.037,0.072,,,,0.014,0.124,0.009,0.01,,,,0.006,,0.005,0.003,,,,,0.079,0.04,,,,,0.417,0.409,0.175,,,,0.005,0.02,0.022,,0.274,,,,,,0.004,,,,,0.181,0.029,0.308,0.342,0.002,0.004,0.446,0.084,0.405,0.003,0.067,0.06,,,0.016,,,0.004,0.171,0.05,,0.048,0.075,,,,,,,,0.566,,0.004,0.169,,,0.018,,0.004,0.005,0.006,0.019,0.004,0.006,0.192,0.05,0.259,0.057,0.028,0.01,0.009,,,,,,,,,,0.01,0.144,0.001,0.001,0.305,0.002,,,,0.001,0.001,0.003,,,0.148,0.116,,0.027,0.382,0.465,,,0.002,0.001,0.034,0.005,,,0.006,,,,,0.01,,,,0.008,,,,0.009,0.038,0.031,0.012,,,,0.203,0.058,,0.007,0.007,0.001
