day,time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
59,5097600,,0.003,,,,,0.003,,,,0.018,0.054,0.753,,0.27,0.237,,,,,,,0.001,,,0.169,,0.508,0.378,,,0.005,,0.15,0.017,,,,0.167,0.011,0.039,,0.002,0.003,0.001,0.013,,,,,,0.025,,0.005,0.004,,0.003,0.004,,,0.075,,,,,0.313,0.245,0.174,,,,0.004,0.077,,,0.001,,,,,,0.006,,,,,0.07,0.015,0.4,0.159,0.001,0.003,0.149,0.058,0.21,0.001,0.04,0.025,,,0.01,0.007,0.005,0.005,0.072,0.085,,0.012,,,,,,,,,0.394,,0.006,,,,0.018,,0.005,0.007,0.006,0.011,0.004,0.046,0.166,0.017,0.09,0.02,0.009,0.01,0.014,,,,,,,,,,0.034,0.118,0.001,0.001,0.099,0.001,,,,0.002,0.001,0.004,,,0.183,0.146,0.004,0.012,0.291,0.425,0.01,0.003,0.001,0.001,0.017,0.005,0.012,,0.007,,,,0.001,0.012,,,,0.057,,,,,,,0.007,,,,0.261,0.125,,,,0.001
59,5097660,,0.003,,,,,0.002,,,,0.062,0.08,0.853,,0.43,0.291,,,,,,,0.001,,,0.175,,0.281,0.387,,,0.005,,0.14,0.015,,,,0.012,0.015,0.036,,0.004,0.004,0.001,0.004,,,,,,0.017,,0.007,0.004,,0.003,0.004,,,0.036,,,,,0.29,0.265,0.132,,,,0.005,0.035,,,0.001,,,,,,0.011,,,,,0.058,0.012,0.436,0.154,0.001,0.005,0.189,0.061,0.156,0.001,0.061,0.019,,,0.014,0.005,0.006,0.007,0.287,0.307,,0.017,,,,,,,,,0.452,,0.004,,,,0.029,,0.004,0.004,0.007,0.009,0.006,0.006,0.204,0.017,0.101,0.015,0.009,0.012,0.014,,,,,,,,,,0.032,0.124,0.001,0.001,0.099,0.001,,,,0.001,0.001,0.003,,,0.159,0.147,0.004,0.013,0.263,0.426,0.013,0.003,0.001,0.001,0.016,0.003,0.004,,0.007,,,,0.001,0.013,,,,0.044,,,,,,,0.008,,,,0.317,0.155,,,,0.001
59,5097720,,0.003,,,,,0.003,,,,0.059,0.14,0.928,,0.316,0.198,,,,,,,0.001,,,0.131,,0.236,0.307,,,0.004,,0.162,0.015,,,,0.006,0.012,0.043,,0.003,0.003,0.001,0.004,,,,,,0.004,,0.004,0.004,,0.003,0.004,,,0.028,,,,,0.3,0.27,0.223,,,,0.005,0.03,,,0.001,,,,,,0.007,,,,,0.087,0.013,0.427,0.178,0.001,0.005,0.241,0.061,0.152,0.001,0.039,0.022,,,0.004,0.004,0.005,0.006,0.246,0.701,,0.027,,,,,,,,,0.433,,0.006,,,,0.03,,0.006,0.006,0.007,0.011,0.005,0.008,0.16,0.021,0.093,0.015,0.007,0.009,0.009,,,,,,,,,,0.003,0.06,0.001,0.001,0.107,0.001,,,,0.001,0.001,0.003,,,0.164,0.143,0.004,0.013,0.361,0.428,0.017,0.002,0.002,0.001,0.016,0.003,0.002,,0.007,,,,0.001,0.009,,,,0.005,,,,,,,0.01,,,,0.332,0.174,,,,0.001
59,5097780,,0.003,,,,,0.002,,,,0.117,0.088,0.757,,0.234,0.16,,,,,,,0.001,,,0.176,,0.226,0.316,,,0.004,,0.135,0.015,,,,0.003,0.01,0.033,,0.002,0.003,0.001,0.004,,,,,,0.003,,0.005,0.004,,0.003,0.004,,,0.026,,,,,0.304,0.251,0.242,,,,0.005,0.024,,,0.001,,,,,,,,,,,0.078,0.012,0.35,0.163,0.001,0.005,0.209,0.057,0.197,0.001,0.042,0.02,,,0.006,0.005,0.005,0.006,0.312,0.17,,0.048,,,,,,,,,0.314,,0.004,,,,0.018,,0.004,0.005,0.007,0.009,0.005,0.008,0.141,0.015,0.089,0.022,0.009,0.01,0.009,,,,,,,,,,0.002,0.034,0.001,0.001,0.091,0.001,,,,0.001,0.001,0.003,,,0.14,0.123,0.006,0.012,0.237,0.381,0.023,0.003,0.001,0.002,0.017,0.006,0.013,,0.007,,,,0.001,0.011,,,,0.005,,,,,,,0.005,,,,0.266,0.143,,,,0.001
59,5097840,,0.003,,,,,0.003,,,,0.066,0.186,0.937,,0.356,0.158,,,,,,,0.001,,,0.165,,0.325,0.389,,,0.005,,0.149,0.013,,,,0.002,0.013,0.048,,0.003,0.004,0.001,0.004,,,,,,0.005,,0.005,0.004,,0.002,0.003,,,0.025,,,,,0.302,0.28,0.138,,,,0.005,0.026,,,0.001,,,,,,0.007,,,,,0.064,0.012,0.462,0.174,0.001,0.004,0.233,0.06,0.219,0.001,0.027,0.022,,,0.003,0.004,0.004,0.004,0.197,0.232,,0.014,,,,,,,,,0.477,,0.009,,,,0.017,,0.004,0.004,0.007,0.01,0.004,0.013,0.152,0.015,0.1,0.014,0.01,0.007,0.011,,,,,,,,,,0.002,0.047,0.001,0.001,0.102,0.001,,,,0.001,0.001,0.003,,,0.172,0.136,0.004,0.014,0.267,0.433,0.016,0.002,0.002,0.002,0.015,0.003,0.005,,0.007,,,,0.001,0.008,,,,0.005,,,,,,,0.011,,,,0.188,0.185,,,,0.001
59,5097900,,0.004,,,,,0.003,,,,0.081,0.09,0.793,,0.337,0.18,,,,,,,0.001,,,0.143,,0.423,0.376,,,0.005,,0.144,0.018,,,,0.002,0.013,0.049,,0.003,0.003,0.001,0.005,,,,,,0.012,,0.008,0.004,,0.003,0.005,,,0.022,,,,,0.294,0.239,0.181,,,,0.007,0.026,,,0.001,,,,,,0.012,,,,,0.069,0.014,0.391,0.141,0.001,0.004,0.161,0.055,0.167,0.001,0.045,0.025,,,0.004,0.005,0.005,0.006,0.127,0.057,,0.027,,,,,,,,,0.392,,0.004,,,,0.033,,0.005,0.005,0.007,0.01,0.005,0.006,0.157,0.016,0.074,0.017,0.011,0.011,0.009,,,,,,,,,,0.004,0.093,0.001,0.001,0.095,0.001,,,,0.001,0.001,0.004,,,0.157,0.143,0.004,0.01,0.323,0.421,0.018,0.002,0.001,0.002,0.016,0.003,0.011,,0.007,,,,0.001,0.009,,,,0.005,,,,,,,0.005,,,,0.162,0.111,,,,0.001
59,5097960,,0.003,,,,,0.002,,,,0.186,0.118,0.899,,0.477,0.227,,,,,,,0.001,,,0.137,,0.363,0.282,,,0.005,,0.154,0.015,,,,0.002,0.011,0.035,,0.003,0.004,0.001,0.004,,,,,,0.005,,0.005,0.004,,0.003,0.004,,,0.017,,,,,0.262,0.23,0.178,,,,0.006,0.024,,,0.001,,,,,,,,,,,0.072,0.006,0.448,0.15,0.001,0.005,0.197,0.059,0.164,0.001,0.05,0.018,,,0.003,0.005,0.005,0.005,0.173,0.064,,0.043,,,,,,,,,0.691,,0.006,,,,0.021,,0.004,0.005,0.005,0.011,0.005,0.009,0.152,0.016,0.089,0.012,0.009,0.009,0.009,,,,,,,,,,0.002,0.087,0.001,0.001,0.095,0.001,,,,0.001,0.001,0.003,,,0.136,0.123,0.004,0.013,0.288,0.395,0.01,0.002,0.001,0.002,0.016,0.006,0.005,,0.007,,,,0.001,0.015,,,,0.006,,,,,,,0.008,,,,0.244,0.148,,,,0.002
59,5098020,,0.003,,,,,0.003,,,,0.362,0.139,0.749,,0.228,0.225,,,,,,,0.001,,,0.123,,0.327,0.362,,,0.004,,0.131,0.013,,,,0.001,0.013,0.039,,0.004,0.003,0.001,0.004,,,,,,0.003,,0.006,0.003,,0.002,0.003,,,0.02,,,,,0.343,0.29,0.216,,,,0.005,0.024,,,0.001,,,,,,0.007,,,,,0.035,0.013,0.425,0.169,0.001,0.005,0.206,0.057,0.219,0.001,0.032,0.018,,,0.004,0.004,0.005,0.005,0.134,0.083,,0.054,,,,,,,,,0.646,,0.004,,,,0.019,,0.005,0.004,0.005,0.008,0.005,0.006,0.147,0.019,0.066,0.016,0.006,0.007,0.013,,,,,,,,,,0.002,0.119,0.001,0.001,0.094,0.001,,,,0.001,0.001,0.004,,,0.134,0.138,0.004,0.011,0.251,0.428,0.009,0.002,0.002,0.001,0.016,0.004,0.01,,0.007,,,,0.001,0.01,,,,0.004,,,,,,,0.008,,,,0.403,0.204,,,,0.001
59,5098080,,0.002,,,,,0.003,,,,0.191,0.104,0.853,,0.382,0.286,,,,,,,0.001,,,0.257,,0.407,0.435,,,0.004,,0.161,0.015,,,,0.002,0.012,0.038,,0.002,0.004,0.001,0.003,,,,,,0.005,,0.004,0.004,,0.003,0.004,,,0.013,,,,,0.308,0.259,0.181,,,,0.006,0.026,,,0.001,,,,,,0.01,,,,,0.105,0.013,0.333,0.183,0.001,0.005,0.195,0.058,0.138,0.001,0.037,0.018,,,0.004,0.004,0.005,0.005,0.116,0.141,,0.046,,,,,,,,,0.383,,0.007,,,,0.026,,0.005,0.005,0.007,0.006,0.004,0.012,0.186,0.017,0.095,0.02,0.012,0.012,0.011,,,,,,,,,,0.006,0.054,0.001,0.001,0.095,0.001,,,,0.001,0.001,0.003,,,0.16,0.134,0.005,0.012,0.3,0.437,0.012,0.003,0.001,0.002,0.017,0.003,0.006,,0.006,,,,0.001,0.008,,,,0.006,,,,,,,0.01,,,,0.187,0.197,,,,0.001
59,5098140,,0.004,,,,,0.003,,,,0.324,0.066,0.801,,0.517,0.158,,,,,,,0.001,,,0.127,,0.373,0.305,,,0.004,,0.131,0.011,,,,0.002,0.013,0.026,,0.002,0.003,0.001,0.004,,,,,,0.005,,0.007,0.003,,0.003,0.003,,,0.02,,,,,0.318,0.255,0.137,,,,0.005,0.022,,,0.001,,,,,,,,,,,0.061,0.012,0.349,0.126,0.001,0.004,0.209,0.059,0.2,0.001,0.062,0.025,,,0.004,0.004,0.004,0.005,0.118,0.126,,0.041,,,,,,,,,0.372,,0.005,,,,0.025,,0.004,0.004,0.006,0.011,0.005,0.006,0.117,0.014,0.077,0.01,0.008,0.008,0.007,,,,,,,,,,0.005,0.112,0.001,0.001,0.091,0.001,,,,0.001,0.001,0.002,,,0.155,0.126,0.004,0.01,0.317,0.399,0.012,0.002,0.002,0.001,0.016,0.007,0.009,,0.007,,,,0.001,0.007,,,,0.007,,,,,,,0.008,,,,0.148,0.111,,,,0.001
