day,time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
36,3110400,,0.003,,,,,0.005,,,,0.842,0.021,0.538,,0.19,0.241,,,,,,,,,,0.069,,0.364,0.252,,,0.007,0.004,0.136,0.021,,,0.001,0.345,0.013,0.047,,0.008,0.005,0.001,,,,,,,,,0.005,0.004,,0.003,0.004,,,0.076,,,,,0.278,0.255,0.238,0.004,0.005,,0.005,0.037,,0.002,0.171,,0.005,0.005,0.005,,0.006,,,,,0.069,0.019,0.203,0.175,0.001,0.006,0.194,0.027,0.145,0.002,0.049,0.037,,,0.006,0.005,0.006,0.005,0.023,,,0.017,,,,,,0.006,,,0.202,,0.005,,,,,,0.004,0.008,,0.008,0.006,0.041,0.282,0.021,0.095,0.019,0.016,0.013,0.015,,,,,,,,,,0.024,0.081,0.002,0.001,0.182,0.001,,,,0.002,0.002,0.004,,,0.03,0.034,,0.014,0.265,0.369,,,0.001,0.001,0.013,0.005,0.005,,0.004,,,,,0.019,,,,0.019,,,,,,,0.008,,,,0.12,0.07,,,,0.001
36,3110460,,0.002,,,,,0.004,,,,0.317,0.041,0.533,,0.152,0.181,,,,,,,,,,0.032,,0.2,0.3,,,0.005,0.004,0.12,0.016,,,0.001,0.011,0.011,0.062,,0.005,0.005,0.001,,,,,,,,,0.005,0.004,,0.003,0.003,,,0.035,,,,,0.249,0.226,,0.004,0.004,,0.009,0.021,,0.002,0.169,,0.004,0.004,0.005,,0.006,,,,,0.062,0.011,0.224,0.151,0.001,0.003,0.213,0.026,0.174,0.002,0.06,0.023,,,0.004,0.004,0.01,0.005,0.081,,,0.012,,,,,,0.005,,,0.18,,0.007,,,,,,0.004,0.005,0.016,0.021,0.005,0.01,0.348,0.023,0.113,0.021,0.014,0.01,0.018,,,,,,,,,,0.022,0.046,0.001,0.001,0.167,0.001,,,,0.001,0.001,0.002,,,0.026,0.027,,0.017,0.275,0.368,,,0.001,0.001,0.012,0.003,0.002,,0.003,,,,,0.009,,,,0.015,,,,,,,0.006,,,,0.212,0.057,,,,0.002
36,3110520,,0.003,,,,,0.005,,,,0.001,0.018,0.648,,0.218,0.08,,,,,,,,,,0.066,,0.214,0.259,,,0.007,0.004,0.132,0.012,,,0.001,0.007,0.012,0.052,,0.005,0.006,0.001,,,,,,,,,0.006,0.003,,0.003,0.004,,,0.027,,,,,0.269,0.227,0.466,0.005,0.002,,0.005,0.019,,0.002,0.148,,0.004,0.007,0.005,,0.005,,,,,0.065,0.018,0.283,0.17,0.001,0.004,0.202,0.027,0.197,0.002,0.049,0.038,,,0.002,0.004,0.005,0.005,0.042,,,0.024,,,,,,0.007,,,0.278,,0.005,,,,,,0.004,0.006,0.007,0.01,0.005,0.008,0.405,0.02,0.129,0.027,0.021,0.014,0.015,,,,,,,,,,0.003,0.066,0.001,0.001,0.159,0.001,,,,0.001,0.001,0.004,,,0.028,0.03,,0.013,0.264,0.345,,,0.002,0.001,0.012,0.003,0.001,,0.003,,,,,0.009,,,,0.003,,,,,,,0.006,,,,0.265,0.014,,,,0.001
36,3110580,,0.002,,,,,0.008,,,,0.101,0.022,0.625,,0.157,0.096,,,,,,,,,,0.048,,0.186,0.321,,,0.007,0.004,0.13,0.014,,,0.001,0.003,0.013,0.088,,0.005,0.006,0.001,,,,,,,,,0.006,0.004,,0.003,0.004,,,0.033,,,,,0.263,0.262,0.202,0.004,0.004,,0.005,0.02,,0.002,0.168,,0.005,0.004,0.004,,0.007,,,,,0.09,0.019,0.222,0.197,0.001,0.006,0.197,0.028,0.215,0.001,0.086,0.023,,,0.003,0.004,0.008,0.007,0.028,,,0.04,,,,,,0.005,,,0.279,,0.005,,,,,,0.005,0.005,0.008,0.014,0.005,0.008,0.409,0.021,0.147,0.026,0.02,0.013,0.018,,,,,,,,,,0.002,0.06,0.001,0.001,0.197,0.001,,,,0.001,0.001,0.003,,,0.028,0.031,,0.015,0.266,0.383,,,0.001,0.001,0.013,0.005,0.006,,0.004,,,,,0.012,,,,0.003,,,,,,,0.009,,,,0.192,0.065,,,,0.001
36,3110640,,0.003,,,,,0.005,,,,0.232,0.027,0.745,,0.151,0.074,,,,,,,,,,0.04,,0.26,0.303,,,0.007,0.005,0.132,0.025,,,0.001,0.002,0.009,0.061,,0.007,0.006,0.001,,,,,,,,,0.005,0.004,,0.003,0.004,,,0.022,,,,,0.255,0.226,,0.004,0.006,,0.007,0.019,,0.002,0.152,,0.005,0.004,0.007,,0.007,,,,,0.073,0.018,0.23,0.21,0.001,0.002,0.208,0.026,0.138,0.002,0.042,0.033,,,0.002,0.006,0.006,0.005,0.034,,,0.018,,,,,,0.004,,,0.314,,0.005,,,,,,0.007,0.007,0.009,0.009,0.005,0.009,0.344,0.022,0.422,0.028,0.023,0.015,0.014,,,,,,,,,,0.002,0.047,0.001,0.001,0.158,0.001,,,,0.001,0.001,0.003,,,0.028,0.031,,0.018,0.255,0.348,,,0.001,0.001,0.012,0.002,0.003,,0.003,,,,,0.013,,,,0.002,,,,,,,0.005,,,,0.121,0.051,,,,0.001
36,3110700,,0.003,,,,,0.005,,,,0.247,0.027,0.661,,0.231,0.049,,,,,,,,,,0.032,,0.205,0.262,,,0.006,0.006,0.122,0.013,,,0.001,0.002,0.011,0.043,,0.006,0.005,0.001,,,,,,,,,0.005,0.004,,0.003,0.004,,,0.015,,,,,0.272,0.231,0.236,0.004,0.004,,0.007,0.018,,0.002,0.163,,0.004,0.004,0.004,,0.006,,,,,0.054,0.016,0.227,0.219,0.002,0.006,0.263,0.027,0.221,0.001,0.061,0.019,,,0.002,0.004,0.005,0.004,0.04,,,0.031,,,,,,0.005,,,0.186,,0.004,,,,,,0.004,0.005,0.009,0.009,0.005,0.012,0.337,0.022,0.539,0.032,0.029,0.013,0.014,,,,,,,,,,0.002,0.053,0.001,0.001,0.187,0.001,,,,0.001,0.001,0.005,,,0.027,0.028,,0.014,0.245,0.313,,,0.001,0.001,0.013,0.002,0.005,,0.003,,,,,0.008,,,,0.005,,,,,,,0.006,,,,0.138,0.022,,,,0.002
36,3110760,,0.002,,,,,0.003,,,,0.185,0.013,0.789,,0.154,0.063,,,,,,,,,,0.038,,0.24,0.298,,,0.006,0.004,0.137,0.016,,,0.001,0.002,0.011,0.068,,0.007,0.007,0.002,,,,,,,,,0.006,0.004,,0.003,0.004,,,0.018,,,,,0.268,0.241,0.396,0.004,0.004,,0.007,0.019,,0.002,0.167,,0.005,0.004,0.004,,0.007,,,,,0.063,0.014,0.226,0.253,0.001,0.005,0.226,0.03,0.161,0.001,0.051,0.034,,,0.002,0.004,,0.008,0.015,,,0.056,,,,,,0.006,,,0.276,,0.006,,,,,,0.005,0.005,0.01,0.012,0.005,0.007,0.446,0.024,0.424,0.041,0.02,0.011,0.014,,,,,,,,,,0.001,0.074,0.001,0.001,0.181,0.001,,,,0.001,0.001,0.004,,,0.029,0.032,,0.022,0.292,0.392,,,0.002,0.001,0.013,0.005,0.003,,0.003,,,,,0.014,,,,0.002,,,,,,,0.008,,,,0.214,0.033,,,,0.001
36,3110820,,0.002,,,,,0.006,,,,0.06,0.021,0.79,,0.163,0.033,,,,,,,,,,0.127,,0.247,0.321,,,0.006,0.004,0.123,0.011,,,0.001,0.001,0.011,0.056,,0.006,0.005,0.001,,,,,,,,,0.005,0.004,,0.003,0.003,,,0.023,,,,,0.243,0.226,0.165,0.004,0.004,,0.006,0.017,,0.002,0.148,,0.005,0.004,0.005,,0.005,,,,,0.105,0.017,0.202,0.229,0.001,0.003,0.202,0.025,0.161,0.001,0.023,0.028,,,0.003,0.004,0.01,0.006,0.017,,,0.048,,,,,,0.004,,,0.124,,0.009,,,,,,0.005,0.005,0.008,0.009,0.005,0.008,0.253,0.019,0.281,0.026,0.015,0.012,0.013,,,,,,,,,,0.002,0.062,0.001,0.001,0.191,0.001,,,,0.001,0.001,0.005,,,0.026,0.027,,0.016,0.261,0.344,,,0.001,0.001,0.013,0.003,0.007,,0.003,,,,,0.008,,,,0.004,,,,,,,0.008,,,,0.153,0.036,,,,0.001
36,3110880,,0.003,,,,,0.003,,,,0.436,0.021,0.805,,0.181,0.041,,,,,,,,,,0.038,,0.255,0.293,,,0.007,0.005,0.135,0.02,,,0.001,0.002,0.01,0.059,,0.005,0.005,0.001,,,,,,,,,0.004,0.004,,0.003,0.005,,,0.012,,,,,0.274,0.246,,0.004,0.005,,0.006,0.019,,0.002,0.169,,0.005,0.006,0.004,,0.007,,,,,0.057,0.013,0.289,0.247,0.001,0.003,0.221,0.028,0.224,0.002,0.068,0.029,,,0.002,0.004,0.007,0.007,0.02,,,0.047,,,,,,0.004,,,0.315,,0.004,,,,,,0.007,0.007,0.01,0.01,0.005,0.009,0.354,0.025,0.168,0.054,0.022,0.014,0.018,,,,,,,,,,0.003,0.086,0.001,0.001,0.159,0.001,,,,0.001,0.001,0.004,,,0.029,0.029,,0.013,0.276,0.385,,,0.002,0.001,0.013,0.003,0.003,,0.003,,,,,0.01,,,,0.003,,,,,,,0.006,,,,0.176,0.082,,,,0.001
36,3110940,,0.002,,,,,0.008,,,,0.78,0.045,0.927,,0.206,0.049,,,,,,,,,,0.039,,0.257,0.282,,,0.006,0.005,0.137,0.016,,,0.001,0.002,0.011,0.07,,0.009,0.007,0.001,,,,,,,,,0.008,0.004,,0.003,0.005,,,0.019,,,,,0.266,0.251,0.266,0.005,0.005,,0.006,0.02,,0.002,0.152,,0.005,0.005,0.005,,0.005,,,,,0.084,0.013,0.207,0.193,0.002,0.006,0.221,0.029,0.178,0.002,0.055,0.037,,,0.003,0.004,0.011,0.004,0.02,,,0.053,,,,,,0.004,,,0.217,,0.008,,,,,,0.006,0.004,0.007,0.009,0.005,0.006,0.257,0.02,0.143,0.027,0.03,0.009,0.01,,,,,,,,,,0.002,0.083,0.001,0.001,0.18,0.001,,,,0.001,0.001,0.004,,,0.027,0.029,,0.015,0.313,0.306,,,0.001,0.001,0.012,0.005,0.004,,0.004,,,,,0.015,,,,0.003,,,,,,,0.006,,,,0.223,0.065,,,,0.001
