CMDLINE D:\anaconda3\envs\pytorch\python.exe .\main.py
MEM 176.757812 1711776317.2099
MEM 176.890625 1711776317.3185
MEM 176.925781 1711776317.4288
MEM 176.929688 1711776317.5372
MEM 176.957031 1711776317.6462
MEM 176.957031 1711776317.7546
MEM 176.960938 1711776317.8637
MEM 176.964844 1711776317.9721
MEM 170.542969 1711776318.0815
MEM 170.824219 1711776318.1899
MEM 174.562500 1711776318.2986
MEM 175.207031 1711776318.4070
MEM 176.328125 1711776318.5158
MEM 176.460938 1711776318.6234
MEM 176.574219 1711776318.7324
MEM 176.609375 1711776318.8412
MEM 176.625000 1711776318.9510
MEM 176.625000 1711776319.0595
MEM 176.628906 1711776319.1694
MEM 176.687500 1711776319.2779
MEM 171.617188 1711776319.3843
MEM 171.625000 1711776319.4936
MEM 175.253906 1711776319.6015
MEM 176.121094 1711776319.7086
MEM 176.675781 1711776319.8164
MEM 176.921875 1711776319.9257
MEM 177.011719 1711776320.0350
MEM 177.132812 1711776320.1422
MEM 177.183594 1711776320.2507
MEM 177.238281 1711776320.3612
MEM 177.246094 1711776320.4708
MEM 177.246094 1711776320.5803
MEM 170.851562 1711776320.6885
MEM 170.851562 1711776320.7969
MEM 174.445312 1711776320.9052
MEM 175.246094 1711776321.0137
MEM 175.921875 1711776321.1226
MEM 176.304688 1711776321.2314
MEM 176.386719 1711776321.3414
MEM 176.558594 1711776321.4502
MEM 176.605469 1711776321.5574
MEM 176.609375 1711776321.6667
MEM 176.628906 1711776321.7737
MEM 176.703125 1711776321.8837
MEM 171.640625 1711776321.9939
MEM 171.640625 1711776322.1012
MEM 175.593750 1711776322.2104
MEM 176.792969 1711776322.3205
MEM 176.957031 1711776322.4314
MEM 177.109375 1711776322.5413
MEM 177.335938 1711776322.6504
MEM 177.386719 1711776322.7603
MEM 177.503906 1711776322.8695
MEM 177.515625 1711776322.9788
MEM 177.519531 1711776323.0867
MEM 177.519531 1711776323.1973
MEM 171.492188 1711776323.3063
MEM 172.640625 1711776323.4148
MEM 175.492188 1711776323.5248
MEM 176.964844 1711776323.6320
MEM 177.121094 1711776323.7394
MEM 177.144531 1711776323.8457
MEM 177.238281 1711776323.9549
MEM 177.296875 1711776324.0628
MEM 177.304688 1711776324.1707
MEM 177.304688 1711776324.2805
MEM 177.304688 1711776324.3894
MEM 177.777344 1711776324.4982
MEM 171.425781 1711776324.6083
MEM 172.601562 1711776324.7170
MEM 175.781250 1711776324.8245
MEM 177.207031 1711776324.9336
MEM 177.519531 1711776325.0420
MEM 177.621094 1711776325.1508
MEM 177.718750 1711776325.2604
MEM 177.863281 1711776325.3690
MEM 177.863281 1711776325.4887
MEM 177.871094 1711776325.6048
MEM 177.894531 1711776325.7121
MEM 177.898438 1711776325.8210
MEM 177.929688 1711776325.9278
MEM 177.929688 1711776326.0351
MEM 171.761719 1711776326.1430
