day,time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
1,86400,,,,,6,6,114,,,,51,13,,,423,22,10,,,,,6,,,,12,,1241,56607,,,17,,,6579,,,3,4403,15946,10102,,,,,,,,,,,,,,17,4,10,8,,,29697,,,,,119801,119804,2,9,9,,13,229150,99037,6,1345008,,,,,,,,,,,25516,490,9107,5140,44,96,13781,749,9774,51,13512,12104,,,3028,,43,8,215,7,,3,,,,,,,,,21,,18,,2,1,,,13,,55,98,,143,3800,21306,4747,,4061,593,730,,,,,,,,,,40486,110393,596,2,591792,30,,,,404,154,7,,,400443,266600,6,3714,73097,31474,111,83,15,30,439,7,118,6,85,,,,,52,,,,19826,,,,,,,892,,,,2762,29,,,,28
1,86460,,,,,12,12,106,,,,29,353,,,304,15,,,,,,4,,,,4,,1122,56279,,,7,,,5130,,,7,491,15185,15394,,,,,,,,,,,,,,13,3,8,6,,,15885,,,,,119421,119412,3,10,10,,6,124486,55561,15,1271529,,,,,,,,,,,25068,462,8811,5178,104,83,13669,775,9796,28,13354,11972,,,1785,,47,6,265,6,,2,,,,,,,,,21,,5,,,1,,,18,,75,68,,21,5628,22300,4560,,3960,828,846,,,,,,,,,,18117,82560,87,3,580697,24,,,,186,61,5,,,386699,257770,3,3744,72777,31526,10,5,15,30,411,12,23,5,92,,,,,56,,,,8441,,,,,,,749,,,,2662,15,,,,26
1,86520,,,,,4,4,90,,,,21,109,1,,275,22,1,,,,,6,,,,7,,1117,55502,,,15,,,4851,,,3,210,14800,10797,,,,,,,,,,,,,,17,4,10,8,,,14845,,,,,119489,119492,3,12,12,,9,110447,51467,12,1150577,,,,,,,,,,,24501,405,8750,5082,46,60,13439,715,9579,13,13198,11643,,,839,,52,2,151,1,,6,,,,,,,,,20,,17,,1,,,,19,,79,98,,17,4207,22272,4671,,4046,671,682,,,,,,,,,,1256,80062,41,,574565,8,,,,155,55,6,,,372407,247720,10,3716,72575,31394,13,12,15,30,411,8,20,23,84,,,,3,42,,,,1055,,,,,,,730,,,,2592,14,,,,27
1,86580,,,,,10,10,145,,,,38,254,,,401,14,,,,,,8,,,,5,,1094,55204,,,13,,,4882,,,7,58,15140,12775,,,,,,,,,,,,,,13,3,8,6,,,14409,,,,,119562,119561,2,7,7,,8,103972,49577,13,1149969,,,,,,,,,,,24227,419,8558,5064,25,74,13344,752,9374,26,13100,11637,,,728,,55,2,180,,,3,,,,,,,,,20,,10,,,,,,12,,57,76,,22,4767,22652,4424,,3885,704,717,,,,,,,,,,966,78395,14,,569694,10,,,,139,41,10,,,370024,244950,6,3690,72789,31379,14,10,15,30,408,8,117,3,86,,,,1,55,,,,1151,,,,,,,1261,,,,2599,15,,,,27
1,86640,,,,,2,2,107,,,,30,23,,,388,19,1,,,,,2,,,,7,,1089,55064,,,16,,,4877,,,6,48,15229,10293,,,,,,,,,,,,,,13,3,7,6,,,13548,,,,,119526,119528,2,26,26,,17,101121,48668,15,1152309,,,,,,,,,,,24286,413,8670,5094,33,55,13351,777,9446,37,13118,11591,,,655,,43,4,160,,,5,,,,,,,,,19,,3,,,1,,,14,2,64,104,,16,4094,23932,4394,,3761,621,634,,,,,,,,,,947,75920,9,,567317,22,,,,138,38,1,,,368032,244321,3,3550,72633,31045,7,9,15,30,405,12,61,4,85,,,,1,56,,,,892,,,,,,,761,,,,2501,22,,,,28
1,86700,,,,,6,6,106,,,,37,282,1,,379,27,12,,,,,7,,,,13,,1089,54318,,,10,,,4923,,,3,40,15402,12004,,,,,,,,,,,,,,17,4,12,8,,,12052,,,,,119488,119478,3,17,17,,18,101716,49518,15,1155591,,,,,,,,,,,24041,382,8322,4890,28,52,12974,735,9157,16,12741,11291,,,923,,44,8,204,3,,9,,,,,,,,,17,,,,,,,,23,8,60,86,,26,4476,20557,4170,,3569,593,606,,,,,,,,,,1388,72208,9,,562479,6,,,,155,54,1,,,367455,244186,5,3804,72760,31476,109,84,15,30,439,8,83,3,84,,,,1,65,,,,1155,,,,,,,795,,,,2574,17,,,,20
1,86760,,,,,7,7,102,,,,34,49,,,396,124,,,,,,9,,,,55,,1010,52518,,,25,,,4964,,,5,37,15233,11147,,,,,,,,,,,,,,17,4,10,8,,,11513,,,,,119568,119580,4,19,20,,4,99346,47989,15,1144390,,,,,,,,,,,24078,386,8503,4881,68,63,12919,730,9139,27,12635,11199,,,702,,51,13,133,,,7,,,,,,,,,29,,1,,3,3,,,10,13,66,54,,26,4362,20855,4353,,3747,687,698,,,,,,,,,,786,71066,5,,559783,16,,,,174,47,1,,,363718,241690,10,3630,72703,31199,17,21,15,30,410,7,63,4,92,,,,5,57,,,,947,,,,,,,901,,,,2470,21,,,,22
1,86820,,,,,6,6,103,,,,40,386,,,358,19,,,,,,8,,,,6,,1131,52330,,,48,,,4709,,,3,45,14783,9444,,,,,,,,,,,,,,13,3,8,6,,,11311,,,,,119539,119532,4,10,10,,12,97789,47835,18,1133074,,,,,,,,,,,23720,465,8467,4827,71,61,12766,717,8976,52,12490,10963,,,664,,57,9,61,,,8,,,,,,,,,18,,10,,1,1,,,8,5,78,69,,30,3830,19322,4194,,3610,646,656,,,,,,,,,,1592,69657,2,,556219,9,,,,144,51,1,,,361468,239854,,3547,72396,31035,3,2,15,30,408,12,22,4,85,,,,3,39,,,,953,,,,,,,740,,,,2634,44,,,,21
1,86880,,,,,2,2,112,,,,32,22,,,399,9,,,,,,4,,,,3,,1003,51362,,,38,,,4848,,,12,30,14256,9823,,,,,,,,,,,,,,17,4,10,8,,,11300,,,,,118972,118968,4,7,7,,16,96447,46783,7,1124485,,,,,,,,,,,23750,452,8304,4709,24,74,12781,635,9116,32,12483,11042,,,749,,37,6,159,2,,6,,,,,,,,,14,,4,,,2,,,14,,80,68,,39,3770,19352,4168,,3591,644,653,,,,,,,,,,2636,69417,4,,553139,14,,,,144,68,1,,,357286,237664,4,3471,71735,30532,5,,15,30,411,9,77,3,84,,,,1,38,,,,982,,,,,,,900,,,,2480,36,,,,23
1,86940,,,,,,,103,,,,41,335,,,405,9,,,,,,6,,,,3,,1033,52128,,,40,,,4489,,,3,42,14652,9725,,,,,,,,,,,,,,13,3,8,6,,,11219,,,,,119034,119040,2,7,7,,20,96700,47780,9,1125382,,,,,,,,,,,23076,407,8193,4790,59,77,12698,691,9093,26,12393,11000,,,1341,,48,8,121,,,4,,,,,,,,,17,,7,,1,6,,,10,,68,45,,29,3719,20982,4103,,3549,667,676,,,,,,,,,,1215,69636,5,,550785,17,,,,144,55,,,,355739,237945,10,3633,72013,30967,8,3,15,30,408,7,125,3,85,,,,3,44,,,,1000,,,,,,,769,,,,2455,17,,,,20
